DateTime,Date,Time,Step Count,Distance,Energy Burned,Flights Climbed,Walking Double Support Percentage,Walking Speed,Hour,DayOfWeek,EnergyPerStep,TimeOfDay,ActivityLevel
2023-03-26 21:23:31,2023-03-26,21:23:31 ,76,0.0421,51.5,1,0.28,3.204,21,6,0.6776315700311636,Night,Medium
2023-03-26 21:34:56,2023-03-26,21:34:56 ,41,0.02487,0.225,3,0.306,2.592,21,6,0.005487804744199885,Night,Medium
2023-03-26 22:16:26,2023-03-26,22:16:26 ,37,0.02653,41.889,3,0.327,3.888,22,6,1.1321351045368893,Night,Medium
2023-03-26 23:19:50,2023-03-26,23:19:50 ,21,0.01402,0.171,2,0.265,4.464,23,6,0.00814285675510206,Night,Low
2023-03-27 08:58:35,2023-03-27,08:58:35 ,26,0.01767,60.514,3,0.269,4.752,8,0,2.3274614489437906,Morning,Low
2023-03-27 13:27:30,2023-03-27,13:27:30 ,240,0.16143,18.976,3,0.274,3.924,13,0,0.07906666633722222,Afternoon,High
2023-03-27 13:48:15,2023-03-27,13:48:15 ,20,0.01326,0.215,3,0.274,2.988,13,0,0.010749999462500026,Afternoon,Low
2023-03-27 14:10:38,2023-03-27,14:10:38 ,8,0.0056,60.514,2,0.314,2.88,14,0,7.56424905446887,Afternoon,Low
2023-03-27 18:32:19,2023-03-27,18:32:19 ,50,0.0345,14.759,1,0.283,5.4,18,0,0.29517999409640017,Evening,Medium
2023-03-27 18:42:59,2023-03-27,18:42:59 ,10,0.0069,15.501,2,0.292,5.292,18,0,1.5500998449900156,Evening,Low
2023-03-27 20:36:57,2023-03-27,20:36:57 ,22,0.01167,15.86,1,0.294,5.364,20,0,0.7209090581404973,Evening,Low
2023-03-27 21:23:57,2023-03-27,21:23:57 ,15,0.01028,2.914,1,0.277,5.004,21,0,0.19426665371555643,Night,Low
2023-03-28 11:44:10,2023-03-28,11:44:10 ,110,0.07606,25.559,2,0.276,4.788,11,1,0.23235454334223143,Morning,Medium
2023-03-28 11:52:21,2023-03-28,11:52:21 ,2,0.00138,15.22,2,0.325,4.824,11,1,7.609996195001902,Morning,Low
2023-03-28 19:44:18,2023-03-28,19:44:18 ,79,0.05233,15.081,10,0.293,3.708,19,1,0.19089873176077554,Evening,Medium
2023-03-28 20:15:46,2023-03-28,20:15:46 ,454,0.2903,13.04,7,0.302,4.824,20,1,0.028722466897087077,Evening,High
2023-03-28 20:30:22,2023-03-28,20:30:22 ,465,0.30205,9.172,13,0.295,5.004,20,1,0.019724731140376924,Evening,High
2023-03-28 21:03:51,2023-03-28,21:03:51 ,11,0.00836,13.074,5,0.303,5.04,21,1,1.1885453464958777,Night,Low
2023-03-28 22:59:31,2023-03-28,22:59:31 ,365,0.219,13.257,2,0.315,4.86,22,1,0.036320547845697125,Night,High
2023-03-28 22:59:35,2023-03-28,22:59:35 ,377,0.21388,13.844,1,0.303,5.076,22,1,0.03672148531373611,Night,High
2023-03-28 22:59:36,2023-03-28,22:59:36 ,5,0.0024,12.621,2,0.296,5.22,22,1,2.524199495160101,Night,Low
2023-03-28 22:59:46,2023-03-28,22:59:46 ,9,0.00624,13.991,1,0.301,5.148,22,1,1.5545553828271799,Night,Low
2023-03-28 22:59:49,2023-03-28,22:59:49 ,2,0.00138,15.038,2,0.304,5.004,22,1,7.518996240501879,Night,Low
2023-03-28 23:10:35,2023-03-28,23:10:35 ,86,0.05934,18.35,1,0.292,5.328,23,1,0.213372090542185,Night,Medium
2023-03-29 01:13:15,2023-03-29,01:13:15 ,9,0.00639,0.179,1,0.312,5.076,1,2,0.01988888667901259,Night,Low
2023-03-29 01:31:53,2023-03-29,01:31:53 ,13,0.00588,7.012,6,0.311,5.148,1,2,0.5393845738934944,Night,Low
2023-03-29 09:22:39,2023-03-29,09:22:39 ,10,0.007,32.929,1,0.32,5.004,9,2,3.2928996707100335,Morning,Low
2023-03-29 13:11:20,2023-03-29,13:11:20 ,185,0.12805,0.207,1,0.295,3.42,13,2,0.0011189189128707085,Afternoon,Medium
2023-03-29 13:21:19,2023-03-29,13:21:19 ,144,0.09966,16.388,1,0.287,1.8,13,2,0.11380555476523922,Afternoon,Medium
2023-03-29 13:31:19,2023-03-29,13:31:19 ,526,0.36296,19.404,3,0.325,2.016,13,2,0.03688973377017161,Afternoon,High
2023-03-29 13:43:01,2023-03-29,13:43:01 ,46,0.02891,15.441,1,0.289,2.016,13,2,0.33567390574621947,Afternoon,Medium
2023-03-29 14:05:27,2023-03-29,14:05:27 ,118,0.08142,14.352,1,0.296,4.86,14,2,0.12162711761332952,Afternoon,Medium
2023-03-29 17:48:37,2023-03-29,17:48:37 ,230,0.15826,12.023,1,0.325,5.112,17,2,0.05227391281620038,Evening,Medium
2023-03-29 17:58:50,2023-03-29,17:58:50 ,293,0.20287,15.253,1,0.271,5.04,17,2,0.052058020300143275,Evening,High
2023-03-29 18:08:49,2023-03-29,18:08:49 ,42,0.02905,12.021,1,0.29,4.176,18,2,0.28621427889966006,Evening,Medium
2023-03-29 19:09:25,2023-03-29,19:09:25 ,332,0.21209,28.277,1,0.28,3.06,19,2,0.08517168649044674,Evening,High
2023-03-29 19:26:54,2023-03-29,19:26:54 ,185,0.12802,0.221,1,0.28,3.312,19,2,0.0011945945881373266,Evening,Medium
2023-03-29 19:37:06,2023-03-29,19:37:06 ,290,0.19971,23.835,1,0.274,5.58,19,2,0.08218965488900119,Evening,High
2023-03-29 19:47:06,2023-03-29,19:47:06 ,215,0.14844,0.179,1,0.279,5.472,19,2,0.0008325581356625202,Evening,Medium
2023-03-29 19:57:23,2023-03-29,19:57:23 ,258,0.1783,25.71,3,0.289,5.22,19,2,0.09965116240445286,Evening,High
2023-03-29 20:07:33,2023-03-29,20:07:33 ,266,0.18377,1.912,3,0.287,5.328,20,2,0.007187969897789586,Evening,High
2023-03-29 21:14:20,2023-03-29,21:14:20 ,54,0.0367,28.389,1,0.335,3.852,21,2,0.5257222124866258,Night,Medium
2023-03-29 21:58:14,2023-03-29,21:58:14 ,6,0.00432,0.179,3,0.333,4.968,21,2,0.029833328361111938,Night,Low
2023-03-30 12:22:40,2023-03-30,12:22:40 ,12,0.00856,13.339,4,0.271,4.572,12,3,1.1115832407013968,Afternoon,Low
2023-03-30 14:12:11,2023-03-30,14:12:11 ,9,0.00657,7.867,4,0.289,4.464,14,3,0.8741110139876652,Afternoon,Low
2023-03-30 17:09:16,2023-03-30,17:09:16 ,41,0.02752,12.616,1,0.335,5.076,17,3,0.30770730956811443,Evening,Medium
2023-03-30 18:17:50,2023-03-30,18:17:50 ,349,0.24187,7.732,1,0.333,5.076,18,3,0.022154727730215682,Evening,High
2023-03-30 19:40:16,2023-03-30,19:40:16 ,980,0.65131,23.688,5,0.337,3.564,19,3,0.024171428546763848,Evening,High
2023-03-30 19:43:17,2023-03-30,19:43:17 ,726,0.4686,0.179,2,0.284,4.68,19,3,0.0002465564734895916,Evening,High
2023-03-30 20:19:18,2023-03-30,20:19:18 ,1065,0.6934,20.359,1,0.278,4.428,20,3,0.019116431906932928,Evening,High
2023-03-30 20:29:18,2023-03-30,20:29:18 ,831,0.53742,15.27,3,0.282,4.536,20,3,0.01837545124142545,Evening,High
2023-03-30 20:42:52,2023-03-30,20:42:52 ,126,0.08264,0.315,3,0.271,4.212,20,3,0.0024999999801587304,Evening,Medium
2023-03-30 23:06:23,2023-03-30,23:06:23 ,62,0.04274,4.044,3,0.274,3.852,23,3,0.06522580539958378,Night,Medium
2023-03-30 23:21:50,2023-03-30,23:21:50 ,25,0.0168,40.197,1,0.271,4.32,23,3,1.6078799356848026,Night,Low
2023-03-31 14:47:58,2023-03-31,14:47:58 ,22,0.01356,14.768,3,0.268,4.536,14,4,0.671272696760332,Afternoon,Low
2023-03-31 15:27:44,2023-03-31,15:27:44 ,15,0.01013,15.663,2,0.268,4.284,15,4,1.0441999303866714,Afternoon,Low
2023-03-31 16:55:16,2023-03-31,16:55:16 ,485,0.31879,12.988,1,0.287,4.212,16,4,0.02677938138808375,Afternoon,High
2023-03-31 16:58:56,2023-03-31,16:58:56 ,1046,0.70118,5.592,3,0.276,4.644,16,4,0.005346080300816366,Afternoon,High
2023-03-31 17:13:05,2023-03-31,17:13:05 ,159,0.10203,12.996,3,0.276,3.924,17,4,0.08173584854254183,Evening,Medium
2023-03-31 17:27:34,2023-03-31,17:27:34 ,260,0.1733,23.428,1,0.272,1.944,17,4,0.09010769196112427,Evening,High
2023-03-31 17:44:36,2023-03-31,17:44:36 ,248,0.17382,0.221,3,0.263,1.548,17,4,0.0008911290286648024,Evening,High
2023-03-31 17:55:55,2023-03-31,17:55:55 ,1082,0.69055,16.43,3,0.261,1.8,17,4,0.015184842869514931,Evening,High
2023-03-31 18:11:50,2023-03-31,18:11:50 ,543,0.33979,11.196,3,0.286,3.312,18,4,0.020618784492414763,Evening,High
2023-03-31 18:23:45,2023-03-31,18:23:45 ,393,0.27446,15.54,1,0.354,3.528,18,4,0.03954198463220869,Evening,High
2023-03-31 18:34:38,2023-03-31,18:34:38 ,197,0.13535,0.179,3,0.282,3.456,18,4,0.0009086294370120333,Evening,Medium
2023-03-31 23:05:40,2023-03-31,23:05:40 ,16,0.01136,3.505,4,0.262,4.428,23,4,0.2190624863085946,Night,Low
2023-04-01 00:08:20,2023-04-01,00:08:20 ,36,0.02504,0.179,2,0.286,4.788,0,5,0.004972222084104942,Night,Low
2023-04-01 08:45:13,2023-04-01,08:45:13 ,99,0.0685,4.267,2,0.297,3.312,8,5,0.043101009665646374,Morning,Medium
2023-04-01 10:26:24,2023-04-01,10:26:24 ,3,0.00207,0.179,1,0.338,4.608,10,5,0.0596666467777844,Morning,Low
2023-04-01 11:00:51,2023-04-01,11:00:51 ,31,0.01585,0.179,2,0.327,4.536,11,5,0.005774193362122794,Morning,Low
2023-04-01 12:57:00,2023-04-01,12:57:00 ,275,0.19228,1.326,2,0.298,1.836,12,5,0.004821818164284298,Afternoon,High
2023-04-01 14:24:46,2023-04-01,14:24:46 ,276,0.18943,0.201,3,0.291,3.492,14,5,0.0007282608669265911,Afternoon,High
2023-04-01 15:05:42,2023-04-01,15:05:42 ,149,0.10281,16.44,1,0.306,5.436,15,5,0.11033556972929148,Afternoon,Medium
2023-04-01 16:04:23,2023-04-01,16:04:23 ,87,0.05872,13.162,3,0.298,5.364,16,5,0.151287354582904,Afternoon,Medium
2023-04-01 16:33:18,2023-04-01,16:33:18 ,37,0.02039,4.135,1,0.295,5.4,16,5,0.11175675373630395,Afternoon,Medium
2023-04-01 16:49:49,2023-04-01,16:49:49 ,969,0.65379,31.416,3,0.274,5.292,16,5,0.03242105259812069,Afternoon,High
2023-04-01 17:09:06,2023-04-01,17:09:06 ,640,0.42356,13.25,6,0.282,4.86,17,5,0.02070312496765137,Evening,High
2023-04-01 17:47:07,2023-04-01,17:47:07 ,1081,0.67835,14.131,1,0.265,5.04,17,5,0.013072155399563223,Evening,High
